Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Digital Humanities and Modern Libraries.","Vranes, Aleksandra","INFOtheca - Journal of Informatics & Librarianship",="14509687",,="Sep2014","15","1","4a","12","101947535",,"Serbian Academic Library Association","Article","Library science; Library automation; Electronic data processing; Computers in libraries; Data Processing, Hosting, and Related Services; Digital humanities","culture; digital humanities; digitization; information; librarianship","According to the Digital Humanities Manifesto 2.0, the first wave of digital humanities in the late nineties and early 21st century was primarily focused on large digitization projects and the establishment of technological infrastructure, which resulted in expecting the cooperation, interactivity, interdisciplinarity, multifunctionality, multimediality, dynamism, speed, accessibility and searchability from libraries as cultural and educational institutions. They are, along with museums, archives, theaters, cinemas, nowadays, as well as throughout the history, active agents of intercultural and interethnic communication. Primarily due to their general ethical and aesthetic values, characteristics of particular cultures that they are profiling, and then due to the standardized professional peculiarities that allow permeation of library science with other disciplines, as well as horizontal connectivity within the profession in the interest of the nation and its culture. Through forming a digital collection of our humanities, we are returning debt that we have towards its creators, previous generations, and commit the following generations to continue to preserve our cultural, spiritual and national identity. [ABSTRACT FROM AUTHOR] Copyright of INFOtheca - Journal of Informatics & Librarianship is the property of Serbian Academic Library Association and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=101947535&site=ehost-live"
"Digital Humanities and Renaissance Studies in Canada: A Graduate Student's Perspective.","LOOSE, SARAH M.","Renaissance & Reformation/Renaissance et Reforme",="0034429X",,="Fall2014","37","4","195","20","103354662",,"Iter, Inc.","Article","VICTORIA University (Toronto, Ont.); RENAISSANCE Society of America (Organization); DIGITAL humanities; HISTORICAL geographic information systems; DIGITAL libraries in the humanities; ONLINE social networks; BIBLIOGRAPHIC databases; ONLINE databases; FULL-text databases; GRADUATE students",,"This article focuses on digital humanities and Renaissance studies in Canada, highlighting established projects such as Iter and newer efforts such as Serai, and addressing recent interest in historical GIS. This survey of projects demonstrates how the work of Renaissance studies faculty and graduate students in Canada is increasing accessibility to sources, creating new knowledge environments and spaces for collaboration, and encouraging new ways to map and visualize Renaissance data, with an end result that enhances our understanding of the past and the ways that digital technology is changing humanities scholarship. The article also suggests that from the perspective of graduate students, participation in these endeavours provides not only training in digital technologies but also the opportunity to contribute knowledge to the field in concrete ways and the chance to establish a foundation in methodologies and practices that will shape approaches to Renaissance studies research and teaching in the future. (English) [ABSTRACT FROM AUTHOR] Cet article se penche sur les humanités numériques et les études de la Renaissance au Canada, en présentant des projets établis tels qu'Iter et plus récents tels que Serai, ainsi qu'en examinant l'intérêt plus récent pour le système d 'information géographique (SIG) historique. Ce survol de différents projets montre comment le travail de professeurs et d'étudiants aux études supérieures dans le domaine améliore l'accès aux sources, créent des environnements pour de nouvelles connaissances et des espaces de collaboration, et favorisent de nouvelles façons de visualiser des données relatives à la Renaissance, enrichissant ainsi notre compréhension du passé, tout en mettant en lumière les transformations des sciences humaines provoquées par les technologies numériques. Cet article avance également qu'en ce qui concerne les étudiants aux études supérieures, la participation dans ces projets non seulement leur donne de l'expérience en humanités numériques, mais leur donne aussi la chance de pouvoir contribuer de façon concrète à l'avancement des connaissances dans leur domaine. Ces expériences leur donne également l'opportunité de développer une méthode et des pratiques qui détermineront leurs approches dans leur recherche et leur enseignement à venir en études de la Renaissance. (French) [ABSTRACT FROM AUTHOR] Copyright of Renaissance & Reformation/Renaissance et Reforme is the property of Iter, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=103354662&site=ehost-live"
"Digital humanities and the emerging framework for digital curation.","Sabharwal, Arjun","College & Undergraduate Libraries",="10691316",,="Apr-Dec2017","24","2-4","238","19","126288248","10.1080/10691316.2017.1336953","Taylor & Francis Ltd","Article","Digital libraries; Digital technology; World Wide Web; Digital media; Libraries and Archives; Internet Publishing and Broadcasting and Web Search Portals; Digital humanities","Archives; collaboration; data curation; digital curation; digital humanities; projects","Digital humanities (DH) represents an emerging framework for digital curation. This study focuses on the evolving relationship of the DH (including history) to digital curation and archives and describes the models of collaboration in the digital environment. A conceptual framework is presented, followed by discussions of scarcity and abundance, archival frameworks, models of collaboration, and a review of selected DH projects. Despite the semantic disagreements over the termarchives, researchers and curators should consider each other's perspectives for continued collaboration. [ABSTRACT FROM AUTHOR] Copyright of College & Undergraduate Libraries is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=126288248&site=ehost-live"
"Digital Humanities and the Psychology of Work.","Carter, Nathan T.; Lowery, Megan R.; Siedor, Lane E.","TIP: The Industrial-Organizational Psychologist",="07391110",,="Winter2017","54","3","35","7","121097448",,"Society for Industrial & Organizational Psychology","Article","DIGITAL humanities; INDUSTRIAL psychologists",,"In this article the authors' argue that the digital humanities perspective presents an incredible opportunity for industrial-organizational (I-O) psychologists interested in asking unconventional questions or conventional questions in unconventional populations and settings.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=121097448&site=ehost-live"
"Digital humanities as the historian’s Trojan horse: Response to commentary in the special section on digital history.","Flis, Ivan","History of Psychology",="10934510",,="20181101","21","4","380","4","2018-56798-005","10.1037/hop0000113","American Psychological Association","Comment/Reply","Databases; History of Psychology; Humanities; Psychologists; Sciences",,"The commentaries by Baldwin (2018), Green (2018), and Porter (2018) on the 2 articles (Burman, 2018; Flis & Van Eck, 2018) in this special section provide a unique perspective on digital humanities approaches to history of psychology. Each of the commentators approached the topic through their own lens—Melinda Baldwin as a historian of scientific journals, Christopher Green as a pioneer in digital history of psychology, and Ted Porter as a historian of quantification. In my response, I tried to reply to the 3 comments by critically discussing 4 themes the special section has raised: the relationship between digital history and conventional history, the perspective that takes databases as both sources for historians and objects in history, the relationship between 'thick descriptions' and 'thin' digital ones, and finally, the role of digital history as a type of a 'trading creole' between scientists working in quantified disciplines like scientific psychology and less quantified ones like history. I think the commentators have rightly observed some pitfalls in the uncritical application of digital history. On the other hand, in my response, I argue that the careful use of digital methods, where the user stays in communication with nondigital historians, opens new perspectives for historians of science, historians of psychology, and psychologists themselves. Digital methods are not there to supplant historicist work but to add to it and translate it to new audiences. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-56798-005&site=ehost-live"
"Digital Humanities as Translation: Visualizing Franz Rosenzweig’s Archive","Handelman, Matthew","TRANSIT",="15519627",,"January 1, 2015","10","1","1",,"202122280994",,"eScholarship Repository (University of California Digital Library)","journal article","German literature; 1900-1999; Rosenzweig, Franz ((1886-1929)); archives; Gesamthochschule Kassel; digital humanities",,,"https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=202122280994&site=ehost-live"
"Digital Humanities Cyberinfrastructure for Ancient China Studies: Past, Present, and Future.","Zhu, Benjun; Zhang, Jiuzhen","Library Trends",="00242594",,="Summer2020","69","1","N.PAG","1","147348065","10.1353/lib.2020.0035","Johns Hopkins University Press","Article","Academic libraries; China; Libraries and Archives; Cyberinfrastructure; China studies; Conceptual models; Digital humanities; Ancient literature; Chinese literature",,"Based on the concepts of ""ancient China studies"" and ""digital humanities"" (DH) in the context of China, this paper first gives a brief review on the development and practice of DH cyberinfrastructure. Under a series of reflections and a brief investigation on ancient Chinese literatures and traditional humanistic activities, this paper puts forward a new DH cyberinfrastructure conceptual model for ancient China studies that can bring people, information, and computational tools together and allow humanistic scholars to perform in a new way and with higher efficiency. On the premise of actual practices to turn a conceptual model into reality, this paper discusses DH cyberinfrastructure and the future of academic libraries. [ABSTRACT FROM AUTHOR] Copyright of Library Trends is the property of Johns Hopkins University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=147348065&site=ehost-live"
"Digital Humanities Cyberinfrastructure for Ancient China Studies: Past, Present, and Future.","Zhu, Benjun; Zhang, Jiuzhen","Library Trends",="00242594",,="Summer2020","69","1","N.PAG","1","147348065","10.1353/lib.2020.0035","Johns Hopkins University Press","Article","CYBERINFRASTRUCTURE; CHINA studies; CONCEPTUAL models; DIGITAL humanities; ACADEMIC libraries; ANCIENT literature; CHINESE literature; CHINA; Libraries and Archives",,"Based on the concepts of ""ancient China studies"" and ""digital humanities"" (DH) in the context of China, this paper first gives a brief review on the development and practice of DH cyberinfrastructure. Under a series of reflections and a brief investigation on ancient Chinese literatures and traditional humanistic activities, this paper puts forward a new DH cyberinfrastructure conceptual model for ancient China studies that can bring people, information, and computational tools together and allow humanistic scholars to perform in a new way and with higher efficiency. On the premise of actual practices to turn a conceptual model into reality, this paper discusses DH cyberinfrastructure and the future of academic libraries. [ABSTRACT FROM AUTHOR] Copyright of Library Trends is the property of Johns Hopkins University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=147348065&site=ehost-live"
"Digital humanities degrees and supplemental credentials in Information Schools (iSchools).","Cobb, Peter J.; Golub, Koraljka","Education for Information",="01678329",,="2022","38","1","67","26","156139079","10.3233/EFI-200452","IOS Press","Article","TEACHING; DIGITAL humanities; EDUCATIONAL technology; CURRICULUM planning; HUMAN-computer interaction; EDUCATION research; HIGHER education; Administration of Education Programs; All Other Miscellaneous Schools and Instruction; Educational Support Services","degrees and credentials; Digital humanities; iField; interdisciplinary; iSchools","The digital humanities (DH) is an emerging field of teaching and research that invites modern technologies to address traditional humanities questions while simultaneously making space for humanistic critiques of those technologies. A natural relationship exists between DH and the field of information studies (the iField), particularly surrounding their common focus on the interface between humans and computers, as well as subfields such as the organization of information, libraries and archives, data preservation, and information in society. Thus, we propose that iField programs in universities should take an active role in DH education. We are particularly interested in programs that are officially Information Schools (iSchools), members of the international iSchools Organization. Our research began as part of a DH curriculum committee convened by the iSchools Organization. To support iSchool engagement in DH education, we have inventoried and analyzed the degrees and supplemental credentials offered by DH education programs throughout the world. Our study deployed multiple data collection methods, which included conducting both ad hoc and comprehensive website surveys, querying an online DH catalog, and inviting members of the iSchools Organization to participate in an online questionnaire. This work has revealed several common patterns for the current structure of DH programs, including the various types of degrees or supplemental credentials offered. We observe that iSchools have a significant opportunity to become more engaged in DH education and we suggest several possible approaches based on our research. [ABSTRACT FROM AUTHOR] Copyright of Education for Information is the property of IOS Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=156139079&site=ehost-live"
"Digital humanities degrees and supplemental credentials in Information Schools (iSchools).","Cobb, Peter J.; Golub, Koraljka","Education for Information",="01678329",,="2022","38","1","67","26","156139079","10.3233/EFI-200452","IOS Press","Article","Educational technology; Human-computer interaction; Teaching; Digital humanities; Curriculum planning; Education research; Higher education","degrees and credentials; iField; interdisciplinary; iSchools","The digital humanities (DH) is an emerging field of teaching and research that invites modern technologies to address traditional humanities questions while simultaneously making space for humanistic critiques of those technologies. A natural relationship exists between DH and the field of information studies (the iField), particularly surrounding their common focus on the interface between humans and computers, as well as subfields such as the organization of information, libraries and archives, data preservation, and information in society. Thus, we propose that iField programs in universities should take an active role in DH education. We are particularly interested in programs that are officially Information Schools (iSchools), members of the international iSchools Organization. Our research began as part of a DH curriculum committee convened by the iSchools Organization. To support iSchool engagement in DH education, we have inventoried and analyzed the degrees and supplemental credentials offered by DH education programs throughout the world. Our study deployed multiple data collection methods, which included conducting both ad hoc and comprehensive website surveys, querying an online DH catalog, and inviting members of the iSchools Organization to participate in an online questionnaire. This work has revealed several common patterns for the current structure of DH programs, including the various types of degrees or supplemental credentials offered. We observe that iSchools have a significant opportunity to become more engaged in DH education and we suggest several possible approaches based on our research. [ABSTRACT FROM AUTHOR] Copyright of Education for Information is the property of IOS Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=156139079&site=ehost-live"
"Digital Humanities in der Musikwissenschaft – Computergestützte Erschließungsstrategien und Analyseansätze für handschriftliche Liedblätter.","Burghardt, Manuel","Bibliothek Forschung und Praxis",="03414183",,="2018","42","2","324","9","130094543","10.1515/bfp-2018-0032","De Gruyter","Article","Crowdsourcing; Information retrieval; Digital humanities; German folk songs; Musicology","Digital Humanities; Melodic Similarity; Music Information Retrieval; Optical Music Recognition","Der Beitrag beschreibt ein laufendes Projekt zur computergestützten Erschließung und Analyse einer großen Sammlung handschriftlicher Liedblätter mit Volksliedern aus dem deutschsprachigen Raum. Am Beispiel dieses praktischen Projekts werden Chancen und Herausforderungen diskutiert, die der Einsatz von Digital Humanities-Methoden für den Bereich der Musikwissenschaft mit sich bringt. [ABSTRACT FROM AUTHOR] Copyright of Bibliothek Forschung und Praxis is the property of De Gruyter and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=130094543&site=ehost-live"
"Digital Humanities in der Musikwissenschaft – Computergestützte Erschließungsstrategien und Analyseansätze für handschriftliche Liedblätter.","Burghardt, Manuel","Bibliothek Forschung und Praxis",="03414183",,="2018","42","2","324","9","130094543","10.1515/bfp-2018-0032","De Gruyter","Article","Crowdsourcing; Information retrieval; Digital humanities; German folk songs; Musicology","Digital Humanities; Melodic Similarity; Music Information Retrieval; Optical Music Recognition","Der Beitrag beschreibt ein laufendes Projekt zur computergestützten Erschließung und Analyse einer großen Sammlung handschriftlicher Liedblätter mit Volksliedern aus dem deutschsprachigen Raum. Am Beispiel dieses praktischen Projekts werden Chancen und Herausforderungen diskutiert, die der Einsatz von Digital Humanities-Methoden für den Bereich der Musikwissenschaft mit sich bringt. [ABSTRACT FROM AUTHOR] Copyright of Bibliothek Forschung und Praxis is the property of De Gruyter and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=130094543&site=ehost-live"
"Digital Humanities in European Research Libraries: Beyond Offering Digital Collections.","Wilms, Lotte","Liber Quarterly: The Journal of European Research Libraries",="14355205",,="2021","31","1","1","23","153567884","10.18352/lq.10351","openjournals.nl","Article","Research libraries; Library research; Librarians; Collections; Libraries and Archives; Digital humanities","digital humanities; digital scholarship; library survey; research libraries","Libraries are increasingly becoming involved in digital humanities research beyond the offering of digital collections. This article examines how libraries in Europe deal with this shift in activities and how they compare with libraries in other parts of the world. This article builds on the results of surveys conducted in Australia, New Zealand, Hong Kong, the United States and the United Kingdom, and compares them with a survey conducted in Europe. We found that European libraries are mostly active in research supporting activities, such as digitisation and storage, while US libraries often include analysis in their activities. Funding comes from the library's main budget and non-structural funding in a variety of forms. Staff working in DH roles has a diverse range of titles, with various forms of librarians being the most used. Analytical staff such as GIS specialists are only found in the US survey. All surveyed libraries agree that the biggest skill gap amongst their staff is in technical skills. When looking towards the future, European libraries see the role of digital humanities (or digital scholarship) within the library grow and are making plans to facilitate this change within their organisation by positioning themselves as an attractive research partner, by opening and increasing their digital collections and by improving the internal workings of the library. [ABSTRACT FROM AUTHOR] Copyright of Liber Quarterly: The Journal of European Research Libraries is the property of openjournals.nl and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=153567884&site=ehost-live"
"Digital Humanities in European Research Libraries: Beyond Offering Digital Collections.","Wilms, Lotte","Liber Quarterly: The Journal of European Research Libraries",="14355205",,="2021","31","1","1","23","153567884","10.18352/lq.10351","openjournals.nl","Article","Research libraries; Library research; Librarians; Collections; Digital humanities","digital humanities; digital scholarship; library survey; research libraries","Libraries are increasingly becoming involved in digital humanities research beyond the offering of digital collections. This article examines how libraries in Europe deal with this shift in activities and how they compare with libraries in other parts of the world. This article builds on the results of surveys conducted in Australia, New Zealand, Hong Kong, the United States and the United Kingdom, and compares them with a survey conducted in Europe. We found that European libraries are mostly active in research supporting activities, such as digitisation and storage, while US libraries often include analysis in their activities. Funding comes from the library's main budget and non-structural funding in a variety of forms. Staff working in DH roles has a diverse range of titles, with various forms of librarians being the most used. Analytical staff such as GIS specialists are only found in the US survey. All surveyed libraries agree that the biggest skill gap amongst their staff is in technical skills. When looking towards the future, European libraries see the role of digital humanities (or digital scholarship) within the library grow and are making plans to facilitate this change within their organisation by positioning themselves as an attractive research partner, by opening and increasing their digital collections and by improving the internal workings of the library. [ABSTRACT FROM AUTHOR] Copyright of Liber Quarterly: The Journal of European Research Libraries is the property of openjournals.nl and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=153567884&site=ehost-live"
"Digital Humanities in Italy: the tradition of innovation.","Ciotti, Fabio","AIB Studi",="22809112",,="mag-ago2018","58","2","177","3","133245399","10.2426/aibstudi-11828","Associazione Italiana Biblioteche","Article","Digital humanities; Educational innovations; Cooperative research",,,"https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=133245399&site=ehost-live"
"Digital Humanities in Latin America ed. by Héctor Fernández L'Hoeste and Juan Carlos Rodríguez (review).",,"Journal of Latin American Geography",="15452476",,="Apr2021","20","1","N.PAG","1","149922364","10.1353/lag.2021.0022","University of Texas Press","Article","DIGITAL humanities; PODCASTING; ONLINE identities; Internet Publishing and Broadcasting and Web Search Portals; JUAN Carlos I, King of Spain, 1938-",,,"https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=149922364&site=ehost-live"
"Digital Humanities in Professional and Technical Communication: Results of a Pedagogical Pilot Study","Litterio, Lisa M.","Technical Communication Quarterly",="15427625",,"January 1, 2021","30","1","77",,"202221381571","10.1080/10572252.2020.1789744","Lawrence Erlbaum","journal article","rhetoric and composition; curriculum; project-based learning; technical writing courses; digital humanities; technology and media (rhetoric and composition)",,"This article examines pedagogical results from an IRB-approved study that used the Omeka platform in two sections of technical writing classes. The research question explored how a digital humanities (DH) project can be an opportunity for students to learn concepts and take ownership of publicly facing content. The method used is qualitative, and findings indicated that students embraced an open-source and collaborative project. Results also demonstrated how technical and professional communication (TPC) instructors might find DH tools well suited to TPC competencies.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=202221381571&site=ehost-live"
"Digital Humanities in Professional and Technical Communication: Results of a Pedagogical Pilot Study.","Litterio, Lisa M.","Technical Communication Quarterly",="10572252",,="Jan-Mar2021","30","1","77","12","148040459","10.1080/10572252.2020.1789744","Taylor & Francis Ltd","Article","COMMUNICATION of technical information; DIGITAL humanities; DIGITAL communications; PILOT projects; TECHNICAL writing; CONCEPT learning; Independent Artists, Writers, and Performers","Classroom research; digital humanities; pedagogical theory","This article examines pedagogical results from an IRB-approved study that used the Omeka platform in two sections of technical writing classes. The research question explored how a digital humanities (DH) project can be an opportunity for students to learn concepts and take ownership of publicly facing content. The method used is qualitative, and findings indicated that students embraced an open-source and collaborative project. Results also demonstrated how technical and professional communication (TPC) instructors might find DH tools well suited to TPC competencies. [ABSTRACT FROM AUTHOR] Copyright of Technical Communication Quarterly is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=148040459&site=ehost-live"
"Digital humanities in Spain: Historical perspective and current scenario.","Toscano, Maurizio; Rabadán, Aroa; Ros, Salvador; González-Blanco, Elena","El Profesional de la Información",="13866710",,="nov/dic2020","29","6","1","22","148095018","10.3145/epi.2020.nov.01","EPI SCP","Article","DIGITAL humanities; EXPERTISE; PHILOLOGY; CURRICULUM; SPAIN","Digital humanities; Digital scholarship; Digital tools for research; Funding; Historical analysis; Humanities; Investment in research; Metrics; Open data; Spain","The objective of this study was to provide the global community of interested scholars with an updated understanding of digital humanities in Spain, in terms of researchers and research centres, disciplines involved and research topics of interest, trends in digital resources development, main funding bodies and the evolution of their investment since the early nineties. One of the characteristics that differentiates this study from previous approaches is the information used to carry out the research. It combines large datasets of publicly available data from trusted sources with a handpicked selection of records grouping information scattered over the Web. Most of the evidence detected by other studies has been numerically confirmed. At the same time, the new metrics and values established constitute a reference base for monitoring the future evolution of the discipline, and thus favour comparisons. Half of the researchers were found to be affiliated to only nine institutions, whereas the other half of them were scattered across 84 locations. Department affi- liation showed a varied pattern of the different degrees of specialization in each institution. Although the major historic role played by Philology was confirmed, the rising interest of other areas of the Humanities and Social Science produces a wider picture, which helped to identify five large clusters of research topics, centred on major disciplines. The quan- titative analysis of funding, a dimension almost unexplored in the Humanities, proved to be a valuable way to assess the discipline and its historical evolution. In fact, it revealed interesting trends that led to our proposal of a three-phase periodization in the consolidation of digital humanities in Spain. The paper concludes with a set of recommendations regarding how to deal with issues that could harm the future development of this research area and the role that Spanish researchers can play in the international context. [ABSTRACT FROM AUTHOR] Copyright of El Profesional de la Información is the property of EPI SCP and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=148095018&site=ehost-live"
"Digital humanities in Spain: Historical perspective and current scenario.","Toscano, Maurizio; Rabadán, Aroa; Ros, Salvador; González-Blanco, Elena","El Profesional de la Información",="13866710",,="nov/dic2020","29","6","1","22","148095018","10.3145/epi.2020.nov.01","EPI SCP","Article","Curriculum; Spain; Digital humanities; Expertise; Philology","Digital scholarship; Digital tools for research; Funding; Historical analysis; Humanities; Investment in research; Metrics; Open data","The objective of this study was to provide the global community of interested scholars with an updated understanding of digital humanities in Spain, in terms of researchers and research centres, disciplines involved and research topics of interest, trends in digital resources development, main funding bodies and the evolution of their investment since the early nineties. One of the characteristics that differentiates this study from previous approaches is the information used to carry out the research. It combines large datasets of publicly available data from trusted sources with a handpicked selection of records grouping information scattered over the Web. Most of the evidence detected by other studies has been numerically confirmed. At the same time, the new metrics and values established constitute a reference base for monitoring the future evolution of the discipline, and thus favour comparisons. Half of the researchers were found to be affiliated to only nine institutions, whereas the other half of them were scattered across 84 locations. Department affi- liation showed a varied pattern of the different degrees of specialization in each institution. Although the major historic role played by Philology was confirmed, the rising interest of other areas of the Humanities and Social Science produces a wider picture, which helped to identify five large clusters of research topics, centred on major disciplines. The quan- titative analysis of funding, a dimension almost unexplored in the Humanities, proved to be a valuable way to assess the discipline and its historical evolution. In fact, it revealed interesting trends that led to our proposal of a three-phase periodization in the consolidation of digital humanities in Spain. The paper concludes with a set of recommendations regarding how to deal with issues that could harm the future development of this research area and the role that Spanish researchers can play in the international context. [ABSTRACT FROM AUTHOR] Copyright of El Profesional de la Información is the property of EPI SCP and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=148095018&site=ehost-live"
"Digital humanities projects and standards: Let's get this conversation started!","Urberg, Michelle; Lawlor, Bonnie","Information Services & Use",="01675265",,="2020","40","3","213","12","146989939","10.3233/ISU-200097","IOS Press","Article","DIGITAL humanities; COMMUNICATION in learning & scholarship; ENGINEERING standards; PERIODICAL articles; METADATA; BALTIMORE (Md.); BACON, Francis, 1909-1992","citizen science; Digital humanities; metadata; Mukurtu Content Management System; persistent identifiers; Preserve the Baltimore Uprising; scholarly communications; Six Degrees of Francis Bacon; Zooniverse","This article is in part about digital humanities projects and the metadata that supports them. It is also a call for project creators, publishers, aggregators, and professionals working on metadata and standards to start a conversation about how to incorporate digital humanities projects into the scholarly communications lifecycle in spaces where books and journal articles have dominated for decades. It begins this conversation by analyzing benefits and challenges of the metadata contributed to two projects - Preserve the Baltimore Uprising and The Six Degrees of Francis Bacon - and two platforms - Zooniverse and Mukurtu Content Management System. It proposes a couple of key pieces of metadata around which to build a standard for integrating digital humanities projects into publication. [ABSTRACT FROM AUTHOR] Copyright of Information Services & Use is the property of IOS Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=146989939&site=ehost-live"
